nw,it,upd_t,conv_t,latency,error
1,3,0.000352,4e-05,6.89769,5.29619e-05
2,3,0.000734,4.8e-05,4.10608,5.29619e-05
4,3,0.000861,3.9e-05,3.45545,5.29619e-05
20,3,0.001633,4.5e-05,0.721493,5.29619e-05
36,3,0.000502,4.3e-05,0.400694,5.29619e-05
52,3,0.000496,4.2e-05,0.281934,5.29619e-05
68,3,0.000499,4.2e-05,0.218388,5.29619e-05
84,3,0.004509,5.7e-05,0.187295,5.29619e-05
100,3,0.005267,4.6e-05,0.161997,5.29619e-05
116,3,0.005771,4.7e-05,0.145615,5.29619e-05
132,3,0.006875,4.6e-05,0.131544,5.29619e-05
148,3,0.00778,6.3e-05,0.121682,5.29619e-05
164,3,0.008341,4.8e-05,0.113653,5.29619e-05
180,3,0.008801,4.3e-05,0.108903,5.29619e-05
196,3,0.009761,4.5e-05,0.104195,5.29619e-05
212,3,0.010893,4.8e-05,0.103508,5.29619e-05
228,3,0.011255,4.5e-05,0.103486,5.29619e-05
240,3,0.00367,6.3e-05,0.122929,5.29619e-05
